"","interval","day","average.step"
"293","20","weekend",0.00943396226415094
"294","25","weekend",3.51179245283019
"295","30","weekend",0.0660377358490566
"296","35","weekend",0.108490566037736
"297","40","weekend",0
"298","45","weekend",0.558962264150943
"299","50","weekend",0.0377358490566038
"300","55","weekend",0.454009433962264
"301","100","weekend",0.0400943396226415
"302","105","weekend",2.33490566037736
"303","110","weekend",0.0188679245283019
"304","115","weekend",0.0424528301886792
"305","120","weekend",0
"306","125","weekend",0.139150943396226
"307","130","weekend",0.72877358490566
"308","135","weekend",0.58372641509434
"309","140","weekend",0.0212264150943396
"310","145","weekend",0.734669811320755
"311","150","weekend",0.0330188679245283
"312","155","weekend",0
"313","200","weekend",0
"314","205","weekend",0
"315","210","weekend",0.391509433962264
"316","215","weekend",0
"317","220","weekend",0
"318","225","weekend",0.0165094339622642
"319","230","weekend",0
"320","235","weekend",0.0283018867924528
"321","240","weekend",0
"322","245","weekend",0
"323","250","weekend",0.193396226415094
"324","255","weekend",0.117924528301887
"325","300","weekend",0
"326","305","weekend",0
"327","310","weekend",0
"328","315","weekend",0
"329","320","weekend",0.713443396226415
"330","325","weekend",0.0778301886792453
"331","330","weekend",2.70283018867925
"332","335","weekend",0.76061320754717
"333","340","weekend",0.686320754716981
"334","345","weekend",0.00943396226415094
"335","350","weekend",0
"336","355","weekend",0
"337","400","weekend",3.77358490566038
"338","405","weekend",0.117924528301887
"339","410","weekend",3.50825471698113
"340","415","weekend",0
"341","420","weekend",0.0424528301886792
"342","425","weekend",1.23231132075472
"343","430","weekend",6.20165094339623
"344","435","weekend",1.89504716981132
"345","440","weekend",2.68632075471698
"346","445","weekend",0.66627358490566
"347","450","weekend",5.26415094339623
"348","455","weekend",2.20165094339623
"349","500","weekend",0
"350","505","weekend",0.195754716981132
"351","510","weekend",0.375
"352","515","weekend",2.40566037735849
"353","520","weekend",0.790094339622642
"354","525","weekend",3.68278301886792
"355","530","weekend",0.261792452830189
"356","535","weekend",0.757075471698113
"357","540","weekend",3.68985849056604
"358","545","weekend",3.41745283018868
"359","550","weekend",8.80660377358491
"360","555","weekend",11.373820754717
"361","600","weekend",3.93632075471698
"362","605","weekend",6.15801886792453
"363","610","weekend",7.90919811320755
"364","615","weekend",24.9316037735849
"365","620","weekend",10.6827830188679
"366","625","weekend",10.6344339622642
"367","630","weekend",11.9563679245283
"368","635","weekend",15.0424528301887
"369","640","weekend",11.252358490566
"370","645","weekend",14.0837264150943
"371","650","weekend",10.1073113207547
"372","655","weekend",17.0047169811321
"373","700","weekend",24.7264150943396
"374","705","weekend",26.2346698113208
"375","710","weekend",18.126179245283
"376","715","weekend",12.813679245283
"377","720","weekend",12.8655660377358
"378","725","weekend",28.122641509434
"379","730","weekend",26.0224056603774
"380","735","weekend",16.1025943396226
"381","740","weekend",22.8455188679245
"382","745","weekend",30.6308962264151
"383","750","weekend",30.0436320754717
"384","755","weekend",26.8313679245283
"385","800","weekend",47.1096698113208
"386","805","weekend",57.6509433962264
"387","810","weekend",88.4292452830189
"388","815","weekend",88.7535377358491
"389","820","weekend",88.3938679245283
"390","825","weekend",76.0495283018868
"391","830","weekend",116.600235849057
"392","835","weekend",138.083726415094
"393","840","weekend",131.303066037736
"394","845","weekend",162.445754716981
"395","850","weekend",161.362028301887
"396","855","weekend",138.689858490566
"397","900","weekend",75.3691037735849
"398","905","weekend",119.129716981132
"399","910","weekend",151.764150943396
"400","915","weekend",166.639150943396
"401","920","weekend",104.214622641509
"402","925","weekend",105.807783018868
"403","930","weekend",87.8384433962264
"404","935","weekend",71.5908018867924
"405","940","weekend",17.2865566037736
"406","945","weekend",32.8443396226415
"407","950","weekend",23.310141509434
"408","955","weekend",30.6945754716981
"409","1000","weekend",48.1332547169811
"410","1005","weekend",51.622641509434
"411","1010","weekend",51.8018867924528
"412","1015","weekend",66.2700471698113
"413","1020","weekend",63.0530660377358
"414","1025","weekend",94.7865566037736
"415","1030","weekend",75.6603773584906
"416","1035","weekend",74.4268867924528
"417","1040","weekend",66.1497641509434
"418","1045","weekend",35.1674528301887
"419","1050","weekend",33.6992924528302
"420","1055","weekend",56.3679245283019
"421","1100","weekend",58.5448113207547
"422","1105","weekend",42.5849056603774
"423","1110","weekend",48.4150943396226
"424","1115","weekend",51.6308962264151
"425","1120","weekend",40.1721698113208
"426","1125","weekend",34.1839622641509
"427","1130","weekend",35.3042452830189
"428","1135","weekend",49.372641509434
"429","1140","weekend",34.9422169811321
"430","1145","weekend",35.2629716981132
"431","1150","weekend",34.5672169811321
"432","1155","weekend",67.7735849056604
"433","1200","weekend",86.7959905660377
"434","1205","weekend",129.462264150943
"435","1210","weekend",126.356132075472
"436","1215","weekend",141.971698113208
"437","1220","weekend",104.674528301887
"438","1225","weekend",59.5837264150943
"439","1230","weekend",31.6839622641509
"440","1235","weekend",37.1143867924528
"441","1240","weekend",39.3160377358491
"442","1245","weekend",61.4044811320755
"443","1250","weekend",79.5695754716981
"444","1255","weekend",97.3478773584906
"445","1300","weekend",92.2299528301887
"446","1305","weekend",79.6733490566038
"447","1310","weekend",95.8455188679245
"448","1315","weekend",112.247641509434
"449","1320","weekend",76.0931603773585
"450","1325","weekend",88.9917452830189
"451","1330","weekend",73.6568396226415
"452","1335","weekend",30.2665094339623
"453","1340","weekend",81.3702830188679
"454","1345","weekend",91.1308962264151
"455","1350","weekend",108.477594339623
"456","1355","weekend",129.66391509434
"457","1400","weekend",80.5943396226415
"458","1405","weekend",86.8702830188679
"459","1410","weekend",75.8231132075472
"460","1415","weekend",58.9622641509434
"461","1420","weekend",57.9339622641509
"462","1425","weekend",56.6308962264151
"463","1430","weekend",70.9811320754717
"464","1435","weekend",64.063679245283
"465","1440","weekend",32.7641509433962
"466","1445","weekend",37.5719339622642
"467","1450","weekend",48.5778301886792
"468","1455","weekend",59.2216981132075
"469","1500","weekend",27.627358490566
"470","1505","weekend",38.9469339622642
"471","1510","weekend",51.061320754717
"472","1515","weekend",58.3561320754717
"473","1520","weekend",63.1202830188679
"474","1525","weekend",77.0318396226415
"475","1530","weekend",65.0165094339623
"476","1535","weekend",105.790094339623
"477","1540","weekend",61.3632075471698
"478","1545","weekend",106.520047169811
"479","1550","weekend",125.076650943396
